"id","gender","item1","item2","item3","item4","item5","item6","item7","item8"
1,"m",0,1,1,1,1,0,1,0
2,"m",1,1,1,1,1,1,0,1
3,"m",0,0,0,1,1,0,1,1
4,"m",1,1,1,1,1,0,1,1
5,"m",0,0,1,1,0,0,0,0
6,"m",1,1,1,0,1,0,1,0
7,"m",0,0,1,0,0,0,0,1
8,"m",0,0,0,0,1,0,0,0
9,"m",0,0,1,1,0,0,0,0
10,"m",0,0,1,1,0,0,1,1
11,"m",1,1,1,1,1,0,1,1
12,"m",0,0,1,0,1,0,0,0
13,"m",0,1,0,1,1,0,1,1
14,"m",0,0,1,0,0,1,0,0
15,"m",1,1,1,1,0,0,1,1
16,"m",0,1,0,1,1,0,1,1
17,"m",1,1,1,1,0,0,1,0
18,"m",0,0,0,1,1,0,0,0
19,"m",1,1,1,1,0,0,0,0
20,"m",1,1,1,1,1,1,1,1
21,"m",0,1,0,1,0,1,0,0
22,"m",0,0,0,1,0,0,1,1
23,"m",1,1,1,1,1,0,1,1
24,"m",0,1,1,1,0,0,0,1
25,"m",0,1,0,1,0,0,1,0
26,"m",0,0,0,0,0,0,0,0
27,"m",0,0,0,0,0,1,1,1
28,"m",0,0,0,1,0,0,0,0
29,"m",0,0,0,0,0,0,1,0
30,"m",0,0,1,1,0,0,0,0
31,"m",1,1,1,1,1,0,1,1
32,"m",0,0,0,1,1,0,1,1
33,"m",1,1,1,1,1,1,1,1
34,"m",0,1,0,1,0,1,1,1
35,"m",0,0,0,1,1,0,1,1
36,"m",0,0,1,1,0,0,1,1
37,"m",0,1,0,1,1,0,1,0
38,"m",0,1,0,1,0,0,1,1
39,"m",1,0,0,1,1,0,1,1
40,"m",1,1,1,1,1,0,1,1
41,"m",0,1,1,1,1,0,0,1
42,"m",0,0,0,1,1,1,0,1
43,"m",0,1,0,1,0,0,1,1
44,"m",1,0,1,1,1,1,1,1
45,"m",1,1,1,0,1,0,1,1
46,"m",0,0,1,1,0,0,0,1
47,"m",0,0,1,0,0,0,1,0
48,"m",0,0,1,1,0,0,1,1
49,"m",0,0,0,1,1,0,1,1
50,"m",0,1,1,1,1,0,0,1
51,"m",0,0,1,1,1,1,1,0
52,"m",0,1,1,1,1,0,1,1
53,"m",0,0,0,1,0,0,0,0
54,"m",0,1,1,1,0,0,0,1
55,"m",0,0,0,1,0,0,1,0
56,"m",0,0,0,1,0,0,0,0
57,"m",0,1,1,1,1,0,1,0
58,"m",0,1,0,1,0,0,1,0
59,"m",0,1,1,1,1,0,1,1
60,"m",0,1,1,1,0,0,1,0
61,"m",0,0,0,1,0,0,0,0
62,"m",0,0,0,0,1,0,0,0
63,"m",0,0,0,1,0,0,0,1
64,"m",1,1,1,1,1,1,1,1
65,"m",0,1,0,1,0,1,1,0
66,"m",0,0,1,1,1,1,1,1
67,"m",1,0,1,1,0,0,1,1
68,"m",1,1,0,0,0,1,0,1
69,"m",1,1,1,1,1,0,1,1
70,"m",0,1,0,1,1,0,0,0
71,"m",0,1,1,1,0,0,0,1
72,"m",0,1,0,1,0,0,1,0
73,"m",1,1,1,1,1,0,1,1
74,"m",1,1,1,0,0,1,1,0
75,"m",0,1,0,0,1,0,0,1
76,"m",0,1,0,1,0,0,0,1
77,"m",1,0,1,1,0,0,0,1
78,"m",0,0,0,1,0,0,0,0
79,"m",0,0,0,0,0,0,0,0
80,"m",0,0,0,1,0,1,0,1
81,"m",1,1,1,1,1,0,1,1
82,"m",1,0,0,1,1,1,1,1
83,"m",1,1,0,1,0,0,0,0
84,"m",0,0,0,1,0,0,0,0
85,"m",0,0,0,1,0,1,0,1
86,"m",0,1,1,1,1,0,1,1
87,"m",0,0,0,1,1,0,1,1
88,"m",0,1,1,1,1,0,0,1
89,"m",0,0,1,1,1,0,1,1
90,"m",0,0,1,1,0,0,1,1
91,"m",1,1,1,0,1,0,1,0
92,"m",1,0,0,1,0,0,0,1
93,"m",1,0,1,1,1,0,0,0
94,"m",0,1,1,1,0,0,1,0
95,"m",0,0,0,0,0,0,0,1
96,"m",1,1,1,1,1,1,0,1
97,"m",1,1,0,1,0,0,1,1
98,"m",0,1,0,1,0,0,1,1
99,"m",1,0,0,1,0,0,1,0
100,"m",1,0,0,1,1,1,0,1
101,"m",0,0,0,1,1,0,0,1
102,"m",0,1,0,1,0,0,0,0
103,"m",1,1,1,1,1,0,1,1
104,"m",0,1,1,1,0,0,1,1
105,"m",0,1,1,1,1,0,0,1
106,"m",1,1,1,1,1,0,1,0
107,"m",1,0,0,1,1,0,0,0
